rank,caption,mean,precision,votes,not_funny,somewhat_funny,funny
0,My only regret is that he never got around to visiting your mother.,1.9791271347248576,0.0129021466394451,4216,1524,1256,1436
1,He touched so many lives.,1.969649805447471,0.0113307855279422,5140,1776,1744,1620
2,"Well, that just leaves taxes.",1.9629302736098853,0.0242535362327753,1133,399,377,357
3,"You know, I can never define irony, but I know it when I see it.",1.935327405012126,0.0228576755020569,1237,442,433,362
4,I was hoping taxes would go first.,1.9265949269792468,0.0113563567580232,5204,1951,1684,1569
5,"Well, I guess that just leaves taxes.",1.9200771373473324,0.0119028128022726,4667,1744,1552,1371
6,He lived everyday like it was your last.,1.91441647597254,0.0122988989759552,4370,1647,1450,1273
7,I wonder if he saw himself coming.,1.9125759700794764,0.0123601705154125,4278,1601,1450,1227
8,All they’d say is that it was job-related.,1.8852242744063328,0.014080677047543,3032,1105,1170,757
9,I guess we can stop eating kale.,1.885016694490818,0.0117127603646937,4792,1882,1579,1331
10,I guess his work finally caught up with him.,1.884507042253521,0.0124180334467051,3905,1427,1502,976
11,"Well, he has no one to blame but himself for this.",1.8831775700934577,0.0223170748017614,1284,494,446,344
12,I warned him not to run with that thing.,1.878850710900474,0.0138684418445591,3376,1325,1135,916
13,"Well, at least he died doing what he loved",1.8739495798319328,0.01428509897528,3094,1196,1092,806
14,They did a nice job. He looks grim.,1.8676156583629893,0.0207749083427018,1405,531,529,345
15,"Well, he has no one to blame but himself.",1.8661417322834648,0.011567073121679,4826,1924,1624,1278
16,I can’t believe Keith Richards outlived him.,1.860904007455732,0.01260448354452,4292,1803,1283,1206
17,"Well, that leaves taxes.",1.8537178596247397,0.0148804166054042,2878,1158,983,737
18,So where does this leave us on the “till death do us part” thing?,1.8314332247557004,0.0130036816383565,3684,1510,1285,889
19,Does this mean your mother will be living with us forever?,1.82053312219583,0.0130490826891878,3789,1623,1223,943
20,I always hoped that Taxes would be the first to go.,1.81702025072324,0.0124914956384599,4148,1791,1325,1032
21,Suddenly everyone has only good things to say about him.,1.813071297989031,0.011899931683823,4376,1841,1512,1023
22,He died doing what he loved.,1.811661166116612,0.0117694528654799,4545,1939,1523,1083
23,"Then I said, ""would it kill you to smile now and then?""",1.80468981893737,0.0138783379147084,3369,1486,1055,828
24,Amazon puts everyone out of business.,1.8038585209003213,0.0126654777537974,4043,1785,1266,992
25,To think how many lives he touched.,1.7883353584447144,0.012264976571559,4115,1801,1384,930
26,He had so much death left in him.,1.7849494348602022,0.0137086569195456,3362,1501,1083,778
27,"Well, I guess we can start drinking and smoking again.",1.7829620710415413,0.0134659415515537,3322,1439,1165,718
28,At least he died doing what he loved.,1.7771851851851852,0.0132938995977852,3375,1466,1195,714
29,"In spite of everything, he stayed grim right up until the end.",1.7768903088391903,0.0174998699239821,1878,796,705,377
30,I was really hoping Taxes would go first...,1.766016713091922,0.0133533263324224,3590,1667,1096,827
31,I hear the new guy has a weed wacker.,1.7639450282942604,0.015937995789864,2474,1138,782,554
32,I guess you can be too good at your job.,1.759051724137931,0.0158189682774484,2320,1020,839,461
33,"And that's when he said, 'Let me handle the N.R.A.'",1.755050505050505,0.013705090796883,3564,1736,965,863
34,I told him not to wear a hoodie in that neighborhood.,1.7474747474747474,0.0186276426054389,1881,911,534,436
35,"See Honey, irony is not dead.",1.7395944503735326,0.0252341524716187,937,433,315,189
36,"No friends, depressing job, constant talk of death—how could we miss the warning signs?",1.735907678650688,0.0164673279025552,2253,1064,720,469
37,He touched the lives of so many people.,1.7347861842105263,0.015735731702434,2432,1140,797,495
38,Who knew he was allergic to nuts?,1.7315039944425148,0.0149643791536973,2879,1418,816,645
39,Now there's just taxes,1.7259552042160735,0.0141234858635355,3036,1449,970,617
40,Will you get out of that coffin and stop scaring the customers with that outfit; I'm trying to make a sale here.,1.7210884353741496,0.015576933393606,2646,1321,742,583
41,He should have seen this coming,1.7209016393442622,0.0154846406873688,2440,1149,823,468
42,Well at least this is the last one of these we'll have to go to.,1.7188160676532769,0.0142616597115242,2838,1330,976,532
43,I wish he would have had time to stop by the White House first.,1.7182025894897182,0.0160759716502961,2626,1365,636,625
44,Life won’t be the same without him,1.7171129220023282,0.0257912453960942,859,401,300,158
45,"Well then, you explain how it isn't a suicide.",1.7162162162162162,0.0182237365740202,1850,905,565,380
46,I always thought he would be the last to go.,1.7142857142857142,0.0156553162440881,2338,1099,808,431
47,"Then again, he always looked like death.",1.7087191358024691,0.0150099817189134,2592,1244,859,489
48,I wonder who will run the NRA now.,1.7079922027290448,0.0159841273101835,2565,1324,666,575
49,I guess what goes around really does come around.,1.7023538344722855,0.0208205608496301,1317,630,449,238
50,The grim truth is he could dish it out but he couldn't take it.,1.7016191210485736,0.0211727273544002,1297,628,428,241
51,He had so much death left in him.,1.7015915119363396,0.019741947485195,1508,735,488,285
52,"Ok, now I feel old.",1.6937079540957658,0.0152625099986361,2527,1249,803,475
53,"I hate to say it, but he brought it on himself.",1.6895661157024793,0.0171857567416645,1936,947,643,346
54,The obit said he had no survivors.,1.6742547425474257,0.0177775315207658,1845,936,574,335
55,He was a victim of his own success,1.6737132352941178,0.016188651274117,2176,1091,704,381
56,I guess now it’s just taxes.,1.673389355742297,0.0181807693958962,1785,913,542,330
57,"First God, now this.",1.6726431463273568,0.0188598940292926,1729,907,481,341
58,I wish it had been taxes.,1.6717289719626167,0.0185459105310323,1712,877,520,315
59,It may be a small crowd. So many of the people he knew are already dead.,1.6691604322527016,0.0214663538590446,1203,598,405,200
60,Just think of all the lives he touched.,1.668438859352344,0.0170000485958408,2069,1075,605,389
61,I’m just saying when it’s my turn please don’t bury me in my work clothes!,1.6619170984455958,0.0262058679752749,772,379,275,118
62,"He, of all people, should have known not to answer the door.",1.6605839416058394,0.0260596647701267,822,416,269,137
63,He never saw himself coming.,1.6579085654230163,0.017498616675189,1903,991,572,340
64,"All I said was, “would it kill you to call your mother once in awhile?”",1.6527242707760044,0.0181072273932342,1817,966,516,335
65,"Well, this is a game changer.",1.6527220630372492,0.0181049065276528,1745,907,537,301
66,"He could dish it out, but he couldn't take it.",1.651360544217687,0.0182040000278712,1764,930,519,315
67,Oh come on Harold! How could it not be suicide?,1.650662251655629,0.0176119590039026,1812,936,573,303
68,Unfortunately now all we have left are taxes.,1.6493860845839017,0.0261493998347251,733,357,276,100
69,Well he died doing what he loved,1.648509174311927,0.0179326500639452,1744,903,551,290
70,I think this means we can start smoking again.,1.64670296430732,0.0183117191598361,1653,853,531,269
71,Even he couldn't bear possibly another two years.,1.6466221232368226,0.0213933269341499,1347,737,349,261
72,He looks like death. They really did a great job on him.,1.6454828660436136,0.019019556231181,1605,851,472,282
73,The undertaker is devastated.,1.64043321299639,0.0203131683796522,1385,734,415,236
74,He almost made it out unscythed.,1.63891577928364,0.0236905502830163,1033,553,300,180
75,I told him not to wear hoodies in rich white neighborhoods.,1.6376496191512513,0.0182834038864786,1838,1018,468,352
76,"Ironically, it was the job that killed him.",1.637211855104281,0.0177827682364389,1822,975,533,314
77,I heard that he was texting while reaping.,1.6336633663366336,0.0230270062377591,1111,605,308,198
78,"Well, that leaves taxes.",1.6330108827085852,0.0188380034633343,1654,900,461,293
79,"Well I'll be, death does become him.",1.6329233680227058,0.0228653900273169,1057,557,331,169
80,It's true. You reap what you sow.,1.6303571428571428,0.0183466370270383,1680,900,501,279
81,Another White House departure,1.625,0.0223649171025153,1216,683,306,227
82,Bet he didn't see that one coming,1.6244224422442244,0.0195570754883972,1515,830,424,261
83,I guess that leaves taxes.,1.6234198270126414,0.0198650291160622,1503,835,399,269
84,They did a wonderful job. He never looked so grim.,1.6229022704837115,0.0231614688560076,1013,538,319,156
85,"I'll miss your brother, Bob, but not his sense of humor.",1.6218568665377175,0.023565159608054,1034,566,293,175
86,Too bad. He was in line to be the next White House communications director.,1.6192400970088925,0.0218756612789297,1237,691,326,220
87,I wonder who came for him.,1.6178803172314349,0.0199807928254639,1387,750,417,220
88,I've always told him this job will be the death of him.,1.6154422788605698,0.0198367143945542,1334,705,437,192
89,I guess eventually you reap what you sow.,1.611952861952862,0.0214052222819983,1188,643,363,182
90,Was this your mother's only outfit?,1.6118577075098814,0.0220925572693259,1265,731,294,240
91,"Well, you have to appreciate the irony, at least...",1.6117764471057885,0.0228999294497647,1002,533,325,144
92,"Oh for Christ's sake, get out of bed, you're going to be late for work.",1.611287758346582,0.0219650127250963,1258,721,305,232
93,I wouldn't want to meet the guy who came for him.,1.6111111111111112,0.0214197403504897,1242,689,347,206
