caption,mean,precision,votes,not_funny,somewhat_funny,funny
I suspect vowel play,1.6777353081700908,0.0117004141743407,4186,2091,1353,742
Why couldn’t he have been murdered on a Monday.,1.6401785714285715,0.01212033057634935,3360,1651,1267,442
I have a feeling all will be revealed tomorrow.,1.640139505389981,0.012702374888542327,3154,1574,1141,439
"Done in ink. We're dealing with a narcissist, Watson.",1.6295979469632165,0.015922439972587278,2338,1286,632,420
"Supersleuth, six letters, and you put Marple?",1.6222504230118444,0.01548614276929893,2364,1285,687,392
It's almost as if they want me to solve it,1.6170670491215489,0.01282535271584175,2789,1378,1101,310
"My dear Watson, many a murder begins with a cross word.",1.5809875403784033,0.015277587542454842,2167,1192,691,284
"What is a four letter word that completes the phrase: ""No ____, Sherlock.""",1.5661804430037818,0.018426128585479647,1851,1157,340,354
"All killers leave clues, but what sick bastard publishes them?",1.5518913676042676,0.01646391215630188,2062,1245,496,321
"Greatest fictional sleuth: P, O, I, R… oh, you’ve got to be kidding me.",1.5495028102031994,0.015571062603742487,2313,1404,547,362
"‘Grade School’… ten letters… It’s ELEMENTARY, my dear Watson!",1.5492253873063468,0.01652917777684637,2001,1201,501,299
"Look, Watson, a magazine with a partially filled in crossword puzzle. Now we know our killer must be at least fifty years old.",1.5465393794749402,0.02071576558218666,1257,753,321,183
"Until now, my dear Watson, we have never had a cross word between us.",1.53903623459096,0.014281809614204439,2677,1632,647,398
We need to think inside the box.,1.5315576143601621,0.016926611517611396,1727,1021,494,212
Some mastermind. It’s in pencil.,1.5283858998144713,0.013108583255884414,2695,1559,848,288
"The body's digestive canal?""- why it's ""alimentary"" my dear Watson",1.5258755880815473,0.016592302449766193,1913,1172,476,265
"That's not a clue, Watson.  It's mustard.",1.516696750902527,0.015631730535901216,2216,1394,499,323
"Dammit, Watson. Why is the answer to 'English crime-solver' always 'Miss Marple?'",1.509090909090909,0.016125594732888177,1925,1186,498,241
"The answer’s buried, 6 down.",1.5028184892897407,0.014169373751752383,1774,976,704,94
Will Shortz's fingerprints are all over this case.,1.500646830530401,0.023843023346239788,773,459,241,73
It’ll be easier to solve this mystery on Monday.,1.4981905910735827,0.016013464755196233,1658,977,536,145
"' Schools young children attend.'  Elementary, my dear Watson.",1.4975429975429975,0.019007839759621607,1628,1093,260,275
What’s a 6 letter word for a useless sidekick?,1.497142857142857,0.0208862479182069,1050,637,304,109
I see clues in both directions.,1.496318114874816,0.016725024828411577,1358,772,498,88
"Watson, 4 letters, ""No ___ Sherlock?""",1.491349480968858,0.02142543669973727,1156,750,244,162
"If we can't crack this one, Watson, it won't be for lack of clues.",1.4911785462244178,0.018111003026679007,1417,873,392,152
"Watson, I spell a rat!",1.4910333048676345,0.01793405062898025,1171,670,427,74
This is littered with clues...almost as if it were intentional...,1.4895977808599168,0.018411016992328003,1442,908,362,172
Back to square one. Then across and down.”,1.4854586129753915,0.019149827291969616,1341,852,327,162
It has Will Shortz's fingerprints all over it.,1.484690067214339,0.01851910666533401,1339,830,369,140
"Misanthropic know-it-all detective, any idea?",1.484228473998295,0.020236028068696517,1173,740,298,135
This has Will Shorts fingerprints all over it!,1.4841208365608056,0.01882886755489565,1291,800,357,134
This is no mystery.  There are clues all over the place!,1.4827586206896552,0.019748580260719246,1189,742,320,127
Lesser half of detective pair. 6 letters.,1.4806763285024154,0.022887175959346386,828,506,246,76
He did this crossword with a pen! We're clearly dealing with a genius.,1.4797360980207352,0.021270075956444878,1061,674,265,122
What is THIS supposed to mean? Who is Doctor Watson’s sidekick?,1.4794188861985471,0.019896601932541703,1239,794,296,149
"It’s a challenge from my nemesis, Will Shortz.",1.4787581699346406,0.02034222198765028,1224,795,272,157
"It's the Sunday Times Watson, it's anything but elementary.",1.4782608695652173,0.020121034638362286,1150,724,302,124
The black boxes are the real mystery.,1.475238922675934,0.02080690671327319,1151,747,261,143
Are we the two fictional detectives?,1.4743362831858406,0.018692280322872186,1130,676,372,82
"Well yes, I’m the world’s greatest detective, but this is a Saturday puzzle.",1.4684854186265286,0.0209333890837272,1063,680,268,115
A six-letter word for “Doyle’s sleuth” … Who the devil is Doyle?,1.4680038204393506,0.02163631082365826,1047,683,238,126
Aha! Answers on page 50.,1.467741935483871,0.021106010838385602,1054,677,261,116
"Oh, god. I think there’s a theme.",1.4672216441207075,0.021316818236153154,961,602,269,90
"The clues were right in front of us the whole time, Watson!""",1.465953307392996,0.02122923075354442,1028,659,259,110
"Watson, what's a four-letter word that completes the phrase, ""No [blank] Sherlock""?",1.4657534246575343,0.022501037811080395,1022,683,202,137
"When you have eliminated the impossible, whatever remains, however improbable, must be the truth. The answer to 7 across is ‘booger’.",1.4653465346534653,0.02274664318283829,1010,678,194,138
"First, we conduct a grid search.""",1.4644644644644644,0.01853424820491351,999,582,370,47
"Watson, I’ve solved the case. It says “ Answers on page 42”",1.4640250260688217,0.022630379993963192,959,630,213,116
Stop saying 'You don't have to be Sherlock Holmes' to figure it out.,1.463254593175853,0.025036011691813912,762,496,179,87
"Embarrassingly easy clues, ergo the crime occurred on a Monday.",1.4616182572614107,0.022964665200633047,964,644,195,125
"Six letter, greatest detective should be Holmes, Who is this bloody Poirot?",1.4605678233438486,0.022423612798853274,951,622,220,109
"Why don’t I ever see MY entry in the caption contest, Watson?!",1.4594594594594594,0.02314183050944983,925,614,197,114
"Watson, it appears the clues are changing daily!",1.459412780656304,0.027210976062688172,579,365,162,52
"If you read along the diagonals, it says 'We've been trying to reach you about your car's extended warranty'.",1.4559164733178653,0.02467344754496512,862,588,155,119
"It appears, my dear Watson, the emu was murdered with an epee by Alan Alda.",1.4550561797752808,0.023654293404794174,890,596,183,111
"Pencil for a Monday puzzle? Really, Watson?",1.453179190751445,0.022970902925566316,865,563,212,90
"Fictional detective, six letters.  Fictional?!  Fictional?!",1.4524940617577198,0.023844197670558166,842,558,187,97
"No _ _ _ _, Sherlock?",1.4486094316807738,0.024275920930039916,827,555,173,99
Where were you on the night of thirty three across?!,1.4482338611449452,0.022175236046025514,821,517,240,64
Overrated sidekick.  6 letters.  Ends in O N.,1.4474327628361858,0.023281464083421157,818,532,206,80
"Bloody hell, that's the American spelling!",1.4456094364351244,0.02434166688347247,763,501,184,78
So far all the clues are pointing in two different directions.,1.444264943457189,0.027667256809727685,619,414,135,70
"Quick, Watson - what's an eight-letter word for 'Egotistical British Detective'?",1.4435590969455512,0.024498417684106436,753,496,180,77
It's obviously a trap.  There's not another word for thesaurus.,1.4432855280312908,0.02323867062083837,767,491,212,64
"Watson, I don't have a clue.",1.4430051813471503,0.023492363395637043,772,499,204,69
"Good heavens, Watson, this looks like a riddle wrapped up in an enigma masquerading as a puzzle.",1.4393530997304582,0.024968411262149937,742,496,166,80
Will Shortz’ fingerprints are all over this.,1.4387617765814267,0.02297328057067803,743,471,218,54
This should help us fill in the blanks.,1.4385245901639345,0.026375066365609177,732,507,129,96
I don’t have a clue.,1.4369565217391305,0.03177456074704996,460,309,101,50
"I am afraid, my dear Watson, that there is no Wound of the Baskervilles.",1.4356164383561645,0.025990134760667385,730,502,138,90
"Watson, I've found a clue! And another! And another! And another! And another! And another! And another! And another! And another! And another! And another! And another! And another! And another! And another! And another! And another! And another!",1.431578947368421,0.025322310492909225,665,438,167,60
What? Holmes’ better half?,1.4302670623145401,0.026361563214914528,674,459,140,75
"Let’s see. Across, six letters, ‘fictional detective,’ — why ‘Holmes,’ of cour … wait, what? MARPLE?!!!",1.4276923076923076,0.026804952603682534,650,444,134,72
I believe 'anachronism' is the word we're looking for.,1.4257748776508972,0.024098805478266126,613,386,193,34
Who the heck is Poirot?,1.4241435562805873,0.02778979193164248,613,423,120,70
"Egads, the clue's been right here all along!",1.4226973684210527,0.02594183035899331,608,401,157,50
"What is “Grades 1 through 6”, my dear Watson?",1.4225806451612903,0.02609246631889546,620,413,152,55
"Honestly Watson,  there are clues everywhere.",1.4224422442244224,0.027130079264162943,606,411,134,61
"Its ""elementary"" my dear Watson! Oh wait, that has too many letters.",1.421487603305785,0.02705717857163228,605,410,135,60
"A 10-letter word for ‘basic’?  Simplistic, my dear Watson.",1.420265780730897,0.02611109667423178,602,399,153,50
"Now the question is, Watson, why don't any of these boxes have letters in them?",1.419732441471572,0.026759791562329032,598,402,141,55
This is why I don't work on Sundays.,1.419607843137255,0.028725641063676113,510,341,124,45
What the blazes is a tchotchke?,1.4195804195804196,0.025793750429246635,572,371,162,39
'World's Greatest Detective' in eight letters and you put 'Clouseau'?!,1.417832167832168,0.029958500677611553,572,410,85,77
Six letter word for 'great detective'? Must be 'Poirot'.,1.417677642980936,0.02655362241583322,577,383,147,47
"Rudimentary, ten letters.",1.4175257731958764,0.026392705839347455,582,386,149,47
What? They actually publish the clues?,1.4171122994652405,0.02696302027696199,561,373,142,46
"Can you think of a ten-letter word for ""simple,"" Watson? Starts with E.",1.416243654822335,0.026539823199754353,591,396,144,51
Not looking for clues -- the print's just so damn small.,1.4127579737335836,0.02792971538455388,533,359,128,46
Im afraid we must conclude that seven up is lemonade.,1.411978221415608,0.026039259619656394,551,360,155,36
