rank,caption,mean,precision,votes,not_funny,somewhat_funny,funny
0,Who's endangered now?,1.6822157434402332,0.0294922028344201,686,348,208,130
1,They were never going to find you anyway,1.60167714884696,0.0350113208290657,477,272,123,82
2,Sorry...I was texting.,1.5899122807017545,0.0362281822080013,456,268,107,81
3,"Yeah, well your profile wasn't exactly honest either.",1.5833333333333333,0.0347791597242506,444,250,129,65
4,I'd like to settle this without involving my insurance company.,1.514792899408284,0.0377619594472365,338,203,96,39
5,"Sorry mate, I was swimming and texting.",1.5107692307692309,0.0386392853847694,325,197,90,38
6,"Sorry, totally thought I could jump it.",1.5060975609756098,0.0405070381472304,328,209,72,47
7,"Ironically, I'm not even a killer whale.",1.4968354430379749,0.0381663337508002,316,192,91,33
8,"I ain't heavy, I'm your blubber.",1.4952380952380953,0.04227180910655,315,208,58,49
9,We should probably exchange insurance information.,1.4952380952380953,0.0398083134694315,315,198,78,39
10,"You were right, white whales can't jump.",1.4903225806451612,0.0405452667113923,310,198,72,40
11,Online you said you were a dolphin.,1.4852459016393442,0.0407786072293361,305,196,70,39
12,"Hold still, dammit, I'm trying to get the hook out.",1.476351351351351,0.0425151827397319,296,197,57,42
13,Did I land on a palm tree or are you just happy to see me?,1.4761904761904765,0.0390463109190134,294,183,82,29
14,Those aren't coconuts.,1.4761904761904765,0.0438099477788118,294,200,48,46
15,"So, any chance you could push me back into the water?",1.4726027397260273,0.040413531952964,292,187,72,33
16,Who's the endangered species now?,1.4705882352941178,0.042168261112954,289,191,60,38
17,"He ain't heavy, he's my blubber.",1.4705882352941178,0.0427343033680458,289,193,56,40
18,"I thought your sign said, ""Kelp""",1.4666666666666666,0.0414306386302846,285,186,65,34
19,You have to hide me. I'm being stalked by some crazy guy with a wooden leg.,1.4645390070921986,0.0435289596098181,282,191,51,40
20,My therapist was right. I do put too much pressure on people.,1.4645390070921986,0.0392609520093202,282,177,79,26
21,"I was wrong, being ALONE on a deserted island isn't the worst thing that can happen!",1.4626334519572954,0.0412467205711474,281,183,66,32
22,"I guess now, I'm a killer whale.",1.4607142857142856,0.0416578880372644,280,184,63,33
23,... Polo!,1.456273764258555,0.0439744525671341,263,177,52,34
24,"Moby, stop being such a dick!",1.4528985507246377,0.0436158341688278,276,189,49,38
25,I vote you off the island.,1.4485294117647058,0.0388542305811811,272,172,78,22
26,I just had lunch and can't go back in the water for at least an hour.,1.445692883895131,0.0404075411122041,267,173,69,25
27,Does this island make me look fat?,1.4452830188679244,0.0409745147636202,265,173,66,26
28,Looks like my sonar worked about as well as your GPS.,1.4452830188679244,0.0430167112496418,265,179,54,32
29,NOW it's a deserted island,1.4452830188679244,0.0446472425679253,265,184,44,37
30,"Look, I'm not thrilled about it either.",1.441509433962264,0.0402506789494911,265,172,69,24
31,It looked bigger underwater.,1.4384615384615385,0.0415069895845102,260,172,62,26
32,"Jeff survived for 209 days on the island, but in the end, it was a fluke accident that did him in.",1.4384615384615385,0.0425667742901518,260,175,56,29
33,"The good news is, you're not alone anymore!",1.437984496124031,0.0428080631168786,258,174,55,29
34,"Sorry. I thought it said ""Kelp.""",1.4357976653696498,0.0443127820314285,257,178,46,33
35,I'm sorry. I was texting.,1.43359375,0.0423119929209775,256,172,57,27
36,I know I know - don't text and swim.,1.43359375,0.0423119929209775,256,172,57,27
37,It's mostly water weight.,1.43359375,0.0396969011464513,256,165,71,20
38,"What part of ""catch and release"" didn't you understand?",1.4330708661417322,0.0436361602362733,254,174,50,30
39,You sure I'm not imposing?,1.4308300395256917,0.0411652543803517,253,167,63,23
40,He thought nothing could compare to the crushing weight of isolation.,1.4308300395256917,0.0437511753477318,253,174,49,30
41,Your photo on Airbnb made it look so much larger.,1.4308300395256917,0.0419203692895594,253,169,59,25
42,Me! What are YOU doing here?,1.4285714285714286,0.0393044659547399,252,162,72,18
43,It looked a lot bigger on AirBnB.,1.4285714285714286,0.042771684860132,252,171,54,27
44,"Frankly, I'll be happy to see rising sea levels.",1.4260089686098654,0.0459504518652896,223,153,45,25
45,"Well, it's not like they call me Moby Nice Guy.",1.42570281124498,0.0456835317093541,249,177,38,34
46,"Stop whining, I can't breathe either.",1.42570281124498,0.0438753574864,249,172,48,29
47,I've just voted you off the island.,1.4256198347107438,0.0436576469975968,242,165,51,26
48,"I know, I know. I shouldn't have been texting.",1.4233870967741935,0.0436185579989963,248,171,49,28
49,Yeah? It's not exactly a day at the beach for me either buddy.,1.4233870967741935,0.0420948827107227,248,167,57,24
50,"Okay, we'll try it with you on top.",1.4233870967741935,0.0424809252877109,248,168,55,25
51,Call him Squishmael.,1.4227642276422765,0.0431143117149142,246,168,52,26
52,That's right. My last name is Dick and I'm a sperm whale. Still think its funny?,1.4227642276422765,0.0434974468211667,246,169,50,27
53,"After years of practice, Harold finally perfected the whale call.",1.4227642276422765,0.0438772365272663,246,170,48,28
54,I think last night was a mistake.,1.420408163265306,0.0420489684073582,245,165,57,23
55,Relax. This could make a great novel.,1.4173553719008265,0.0415829713219372,242,162,59,21
56,You're it.,1.4173553719008265,0.0407499539920204,242,160,63,19
57,"When you asked me the one thing I'd bring to a desert island and I said ""Moby Dick,"" I meant the book.",1.4149377593360997,0.0437098410957612,241,167,48,26
58,I guess now I'll call you Squishmael.,1.4142259414225942,0.0443716273884326,239,167,45,27
59,"On the bright side, you still have two wishes left",1.4142259414225942,0.0439736376637204,239,166,47,26
60,And you thought things couldn't get worse.,1.411764705882353,0.0416070506725184,238,160,58,20
61,"Give a man a fish, you feed him for a day. Teach a man to fish -- and this can happen.",1.411764705882353,0.0424506903052421,238,162,54,22
62,You can't breathe? I can't breathe!,1.4085106382978725,0.0397260528932357,235,154,66,15
63,"Lube, Oil, Filter. You're good for another 10,000 miles.",1.405982905982906,0.0445956082565501,234,165,43,26
64,Think we can settle this without insurance?,1.405982905982906,0.0398153416975994,234,154,65,15
65,Everything changed when the relationship became physical.,1.405982905982906,0.0437653218374988,234,163,47,24
66,"Well frankly, it’s not that comfortable for me either.",1.405982905982906,0.0424894819360286,234,160,53,21
67,Marco...,1.4051724137931034,0.0436080332844763,232,161,48,23
68,"And in an instant, the fine art of whale calling was lost forever.",1.4051724137931034,0.0456974351700532,232,166,38,28
69,Sorry. You're right...I shouldn't text and swim.,1.4051724137931034,0.0431780217715419,232,160,50,22
70,"Sorry, I was texting while swimming.",1.4051724137931034,0.0436080332844763,232,161,48,23
71,Try lifting with your legs.,1.4025974025974026,0.0432881610733294,231,160,49,22
72,"If a guy named Ahab shows up, you haven't seen me.",1.4025974025974026,0.04372080059897,231,161,47,23
73,Don't make me tell you again: 'humpback' is derogatory.,1.4025974025974026,0.0432881610733294,231,160,49,22
74,"Listen, if a guy with a peg leg comes by looking for me, remember - I was never here.",1.4,0.0416117288602086,230,156,56,18
75,I told you the hammock wouldn't hold us both.,1.4,0.0411529306186095,230,155,58,17
76,"I'm like the elephant in the room. Only I'm a whale, and this is an island.",1.3973799126637554,0.0448100145951896,229,163,41,25
77,Recalculating . . .,1.3973799126637554,0.0452354150907675,229,164,39,26
78,I decided I'd rather be a big fish on a small island.,1.39647577092511,0.041958314878621,227,155,54,18
79,This timeshare isn’t working out.,1.3963963963963963,0.0430950472472961,222,153,50,19
80,Now I can call you Squishmael.,1.3955555555555557,0.0444979836255218,225,159,43,23
81,"1 down, 7.4 billion to go.",1.3955555555555557,0.0449416631470148,225,160,41,24
82,"It gets worse. Why do you think they call us ""sperm whales?""",1.390134529147982,0.0456260172020995,223,161,37,25
83,"Crowded beach, no nightlife, lumpy bed--one star.",1.390134529147982,0.0428875108218854,223,155,49,19
84,That's the last time I try to text and migrate at the same time!,1.3893805309734513,0.0460290433033381,226,165,34,27
85,"I thought you said, ""Kelp!""",1.3891402714932126,0.043151731343801,221,154,48,19
